source_id,source_kind,source_path,ocr_verified,plan_date,pub_date,price,zone_low,zone_high,primary_role,direction,major,tags,source,snippet
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6782,6782,6782,FAILED_BREAKDOWN_RECLAIM,support,false,failed_breakdown_reclaim|target_reference,supports are_list+narrative_sentence,Supports are: 6782
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6790,6790,6790,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6790 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6791,6791,6791,RESISTANCE_ONLY,support,false,failed_breakdown_reclaim|defend_first|resistance_only|target_reference,narrative_sentence,"...or 6795 to defend (doesn't need to be exact) then recover today's 6808 daily low."" Yesterday morning ES flushed down to 6791, recovered 6808, and we ripped hard to 6860+ again."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6791,6791,6791,RESISTANCE_ONLY,resistance,false,failed_breakdown_reclaim|resistance_only|defend_first|target_reference,narrative_sentence,"As a Failed Breakdown trader, I only trade when we see a scary, elevator down sell like we saw down to 6791 yesterday I want to see panic, people chasing short, bearish comments in my feed etc."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6795,6795,6795,FAILED_BREAKDOWN_RECLAIM,support,false,failed_breakdown_reclaim|defend_first,supports are_list+narrative_sentence,Supports are: 6795
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6802,6802,6802,MAJOR_SUPPORT,support,true,major,supports are_list,Supports are: 6802 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6808,6808,6808,RESISTANCE_ONLY,support,false,failed_breakdown_reclaim|defend_first|shelf_cluster_low|resistance_only|direct_bid_conditional,narrative_sentence,"In doing so, ES lost Friday's daily low at 6808."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6808,6808,6808,RESISTANCE_ONLY,resistance,false,failed_breakdown_reclaim|resistance_only|defend_first|shelf_cluster_low|direct_bid_conditional,narrative_sentence,"Shortly after, ES put in a monster Failed Breakdown of Friday's 6808 low, and back up the levels we went to 6923 by 10am yesterday from which we topped out into today."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6813,6813,6813,FAILED_BREAKDOWN_RECLAIM,support,false,failed_breakdown_reclaim|defend_first,supports are_list+narrative_sentence,Supports are: 6813
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6822,6822,6822,FAILED_BREAKDOWN_RECLAIM,support,true,major|shelf_cluster_low|failed_breakdown_reclaim|defend_first,supports are_list+narrative_sentence+narrative_sentence+narrative_sentence,Supports are: 6822 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6832,6832,6832,SUPPORT_LEVEL,support,false,,supports are_list,Supports are: 6832
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6835,6835,6835,RESISTANCE_ONLY,resistance,false,resistance_only,narrative_sentence,"After this, one can short below the low of that bounce, perhaps 6835 trigger."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6838,6838,6838,FAILED_BREAKDOWN_RECLAIM,support,false,failed_breakdown_reclaim|defend_first,supports are_list+narrative_sentence,Supports are: 6838
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6845,6845,6845,RESISTANCE_ONLY,support,true,major|failed_breakdown_reclaim|defend_first|resistance_only,supports are_list+narrative_sentence+narrative_sentence+narrative_sentence+narrative_sentence,Supports are: 6845 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6845,6845,6845,RESISTANCE_ONLY,resistance,false,failed_breakdown_reclaim|resistance_only|defend_first,narrative_sentence,For the 6845 short ideally one sees a final bounce there or quick failed breakdown.
