level_id,source_id,source_kind,source_path,ocr_verified,source_snippet,plan_date,pub_date,price,zone_low,zone_high,primary_role,direction,tags,long_eligible,bars_in_session,saty_valid,nearest_saty_label,nearest_saty_price,nearest_saty_distance,event_status,touch_ct,touch_et,sweep_ct,sweep_et,sweep_low,sweep_depth_points,reclaim_ct,reclaim_et,sweep_reclaim_same_bar,acceptance2_ct,acceptance2_et,acceptance3_ct,acceptance3_et,nonacceptance2_ct,nonacceptance2_et,entry_model,entry_ct,entry_et,entry_price,horizon_5m_complete,mfe_5m,mae_5m,hit_2pt_5m,hit_4pt_5m,hit_8pt_5m,hit_10pt_5m,horizon_15m_complete,mfe_15m,mae_15m,hit_2pt_15m,hit_4pt_15m,hit_8pt_15m,hit_10pt_15m,horizon_30m_complete,mfe_30m,mae_30m,hit_2pt_30m,hit_4pt_30m,hit_8pt_30m,hit_10pt_30m,horizon_60m_complete,mfe_60m,mae_60m,hit_2pt_60m,hit_4pt_60m,hit_8pt_60m,hit_10pt_60m,mfe_eod,mae_eod,hit_2pt_eod,hit_4pt_eod,hit_8pt_eod,hit_10pt_eod,eod_complete
c03d374c98f2,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6822 (major),2026-02-20,2026-02-19,6822,6822,6822,FAILED_BREAKDOWN_RECLAIM,support,major|shelf_cluster_low|failed_breakdown_reclaim|defend_first,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceb4840ae897,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6832,2026-02-20,2026-02-19,6832,6832,6832,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45d28ed8c0c4,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,"After this, one can short below the low of that bounce, perhaps 6835 trigger.",2026-02-20,2026-02-19,6835,6835,6835,RESISTANCE_ONLY,resistance,resistance_only,false,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e9a230f8937,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6838,2026-02-20,2026-02-19,6838,6838,6838,FAILED_BREAKDOWN_RECLAIM,support,failed_breakdown_reclaim|defend_first,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f64354cbd4b4,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6845 (major),2026-02-20,2026-02-19,6845,6845,6845,RESISTANCE_ONLY,support,major|failed_breakdown_reclaim|defend_first|resistance_only,false,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41f94a66ba10,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,For the 6845 short ideally one sees a final bounce there or quick failed breakdown.,2026-02-20,2026-02-19,6845,6845,6845,RESISTANCE_ONLY,resistance,failed_breakdown_reclaim|resistance_only|defend_first,false,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10185c00ad25,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,If we are knifing fast - instead of buying 6845 - the very obvious trade here is the Failed Breakdown of today's 6848 daily low.,2026-02-20,2026-02-19,6848,6848,6848,FAILED_BREAKDOWN_RECLAIM,support,failed_breakdown_reclaim|defend_first,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81a2666a72a,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,"The lowest bulls want to see is 6849, below there we flush."" Today, we held 6849 all day as the lowand ES mostly consolidated.",2026-02-20,2026-02-19,6849,6849,6849,FAILED_BREAKDOWN_RECLAIM,support,failed_breakdown_reclaim|defend_first,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de91af65f2b1,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6851,2026-02-20,2026-02-19,6851,6851,6851,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2db08d91a5c4,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,"My most recent entry was the 7:10PM 6854 Failed Breakdown we saw last evening."" There were a few things to note heading into today: 1) Readers know that I talk everyday about the two siblings in ES.",2026-02-20,2026-02-19,6854,6854,6854,FAILED_BREAKDOWN_RECLAIM,support,failed_breakdown_reclaim,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
